Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
ASHOKLEY,141.93,142.67,35.0,4993.45,0.52
JBCHEPHARM,1670.1,1709.7,3.0,5129.1,2.37
GODIGIT,350.85,346.05,14.0,4844.7,-1.37
Cash,1.0,1.0,10110.25,10110.25,0.0
