Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
ASHOKLEY,141.93,142.42,35.0,4984.7,0.35
JBCHEPHARM,1670.1,1705.1,3.0,5115.3,2.1
GODIGIT,350.85,341.55,14.0,4781.7,-2.65
Cash,1.0,1.0,10110.25,10110.25,0.0
