Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BEL,426.1,415.15,18,7472.7,-2.57
IDBI,103.8,99.26,77,7643.02,-4.37
NAVINFLUOR,5687.4,6055.0,1,6055.0,6.46
Cash,-21349.8,-21349.8,1,-21349.8,0.0
