Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BEL,426.1,422.3,18,7601.4,-0.89
IDBI,103.8,101.51,77,7816.27,-2.21
NAVINFLUOR,5687.4,5905.5,1,5905.5,3.83
Cash,-21349.8,-21349.8,1,-21349.8,0.0
